# PTX spill ratchet — tools/ptx-spill-check.sh (recipe `just gate-ptx-spill`) holds every entry of
# these binaries to the spill and jit_local bytes pinned here: `spill` is ptxas's spill stores
# (bytes), `jit_local` the driver JIT's local bytes per thread (tools/ptx-scan.sh's columns). The
# check is exact: a value above its pin, below it, an entry the scan prints that has no row, and a
# row whose entry the scan no longer prints are each a failure. A nonzero pin carries a PIN line.
# Pinned from the scans on ptxas 13.3.73, sm_86, JIT on the RTX 3090 with CUDA 13.4.
#
# binary          entry                              spill  jit_local

# generate_ds41 (--features gpu,deepseek41)
# PIN(2026-09-24): flash_merge2_q8 is the probe twin of merge_row (runs only under probe_cfg.flash_merge2); its 16-segment merge batch keeps 40 bytes of ptxas spill and 8 of JIT local. MERGE_BATCH stays: the shipped merge carries no spill.
gate_e2e        flash_merge2_q8                        40          8
gate_e2e        flash_merge_q8                          0          0
gate_e2e        gap_coop                                0          0
gate_e2e        gap_coop_sync                           0          0
gate_e2e        gap_plain                               0          0
gate_e2e        gate_up_swiglu_q3k                      0          0
gate_e2e        gather_pairs                            0          0
gate_e2e        gemm_q3k                                0          0
gate_e2e        gemm_q4k                                0          0
gate_e2e        gemm_q5k                                0          0
gate_e2e        gemm_q6k                                0          0
gate_e2e        gemm_route                              0          0
gate_e2e        gemm_swiglu_quant                       0          0
gate_e2e        gqa_flash_merge                         0          0
gate_e2e        gqa_flash_seg                           0          0
gate_e2e        gqa_flash_seg_mma                       0          0
gate_e2e        gqa_prefill_flash                       0          0
gate_e2e        half_decode                             0          0
gate_e2e        head_norm_neox_append                   0          0
gate_e2e        iq2_xs_rows                             0          0
gate_e2e        iq3_xxs_rows                            0          0
gate_e2e        iq4_xs_rows                             0          0
gate_e2e        join_consume                            0          0
gate_e2e        join_produce                            0          0
gate_e2e        join_spin                               0          0
gate_e2e        kv_append                               0          0
gate_e2e        kv_append_pos_buf                       0          0
gate_e2e        kv_norm_rope_append                     0          0
gate_e2e        moe_combine                             0          0
gate_e2e        norm_quant                              0          0
gate_e2e        q2_k_rows                               0          0
gate_e2e        q3k_gemv                                0          0
gate_e2e        q3k_gemv_heads                          0          0
gate_e2e        q3k_gemv_heads_pair                     0          0
gate_e2e        q3k_gemv_sel                            0          0
gate_e2e        q3k_gemv_split                          0          0
gate_e2e        q3k_gemv_split_mcol                     0          0
gate_e2e        q3k_quantize_q8_1                       0          0
gate_e2e        q3k_quantize_q8_1_pair                  0          0
gate_e2e        q4k_gemv                                0          0
gate_e2e        q4k_gemv_grouped                        0          0
gate_e2e        q4k_gemv_mcol                           0          0
gate_e2e        q4k_gemv_sel                            0          0
gate_e2e        q5_0_gemv                               0          0
gate_e2e        q5_0_gemv_sel                           0          0
gate_e2e        q5_1_gemv                               0          0
gate_e2e        q5_q8_1_quantize_pair                   0          0
gate_e2e        q5_quantize_q8                          0          0
gate_e2e        q6k_gemv                                0          0
gate_e2e        q6k_gemv_sel                            0          0
gate_e2e        q8_0_gemv                               0          0
gate_e2e        q8_0_gemv_heads                         0          0
gate_e2e        q8_0_gemv_heads_mcol                    0          0
gate_e2e        q8_0_gemv_mcol                          0          0
gate_e2e        q8_1_quantize_sel                       0          0
gate_e2e        qwen3moe_combine                        0          0
gate_e2e        qwen3moe_gate_up_swiglu_q4k             0          0
gate_e2e        qwen3moe_head_q6k_argmax                0          0
gate_e2e        qwen3moe_o_resid_q4k                    0          0
gate_e2e        qwen3moe_qkv_q4k                        0          0
gate_e2e        qwen3moe_router                         0          0
gate_e2e        qwen3moe_router_fused                   0          0
gate_e2e        qwen3moe_router_logits                  0          0
gate_e2e        qwen3moe_router_norm                    0          0
gate_e2e        qwen3moe_router_route                   0          0
gate_e2e        qwen3moe_token_major                    0          0
gate_e2e        rms_norm                                0          0
gate_e2e        rope                                    0          0
gate_e2e        router_topk                             0          0
gate_e2e        swiglu                                  0          0
gate_e2e        touch                                   0          0
gate_e2e        two_phase                               0          0
gate_e2e        weighted_sum                            0          0
